$\beta$,Q,L,index,Mean inventory per demand unit,Mean inventory,FR,Mean cost,Mean cost per demand unit,Rank costs,Rank inventory
0.95,50000,1,1,0.0001657408570688941,0.7497009065987873,0.9501069391796714,209383.1642525307,42.78460258999915,2.691176470588236,3.992647058823529
0.95,50000,1,2,0.0003468511387697608,1.438097100374086,0.9494417271700103,237702.2868781858,47.97678658537381,5.5,4.088235294117647
0.95,50000,1,3,8.962519427958646e-06,0.04095871378577101,0.9522198404497613,236556.0209387756,49.99825879558296,5.073529411764706,3.948529411764706
0.95,50000,1,4a,0.0001545759532247101,0.5845051491961354,0.9495046208143163,245597.2231545786,48.28370675274093,5.382352941176471,3.977941176470588
0.95,50000,1,5,0.0001847098217387878,0.8085211586316272,0.9497605594408287,216032.3792313775,44.38567532965152,4.191176470588236,4.007352941176471
0.95,50000,1,6,0.0002033378802295408,0.910261385230227,0.9501113704287869,210995.7687281594,43.18030499645737,2.897058823529412,4.022058823529412
0.95,50000,1,7,9.004094164160945e-05,0.4114871033021552,0.9501977199865427,201703.5405334564,40.57817436457491,2.264705882352941,3.963235294117647
0.95,50000,2,1,0.001127911309697805,8.938989740319665,0.9505557288206823,612337.8193020299,64.93550868039179,2.632352941176471,4.066176470588236
0.95,50000,2,2,0.001463487034010029,11.72070137350991,0.949014561419566,690300.0267767537,72.22117549531752,5.308823529411764,4.404411764705882
0.95,50000,2,3,0.0005279083280754779,3.809248292981271,0.9537617181378387,691190.172479981,73.67601663568307,4.544117647058823,3.889705882352941
0.95,50000,2,4a,0.0003679127813289731,2.552963124405685,0.9413555717631636,875329.6258830344,83.9884799437669,5.926470588235294,3.683823529411764
0.95,50000,2,5,0.001310874802549526,10.27528653611233,0.9496417605033339,635625.2920411027,67.59748123258098,4.264705882352941,4.110294117647059
0.95,50000,2,6,0.001269679222953629,10.12528736515242,0.9504904039969003,618977.1625826998,65.86869556597757,2.941176470588236,4.051470588235294
0.95,50000,2,7,0.0007595676512040202,5.801029157303996,0.94917867844521,575641.7287652332,59.50237174378025,2.382352941176471,3.794117647058823
0.975,50000,1,1,0.001270407790611177,4.751241342299075,0.9751896972384273,205443.2368171107,42.10169917370229,2.779411764705882,4.007352941176471
0.975,50000,1,2,0.001754880001158132,6.845275155604956,0.9744794706162556,222854.673816455,44.70426730010323,5.161764705882353,4.264705882352941
0.975,50000,1,3,0.0007415163580407072,2.877292615547383,0.9768132924626471,224775.2919032446,46.46130037640035,4.985294117647059,4.058823529411764
0.975,50000,1,4a,0.001416406761721293,5.166027840197754,0.9745356604059794,241196.0260658789,47.14567998734486,5.647058823529412,3.919117647058823
0.975,50000,1,5,0.001390759652185241,5.148810420740453,0.9747793851550108,208669.7857163331,42.718928682638,4.220588235294118,4.0
0.975,50000,1,6,0.001677025472761342,6.324123338248666,0.9751423926261736,208471.566377013,43.08125704024861,2.955882352941177,4.029411764705882
0.975,50000,1,7,0.0009918121101779153,3.696560759854373,0.9751864277712606,199151.8949684805,40.08503169678659,2.25,3.720588235294118
0.975,50000,2,1,0.005117313432827446,40.74847384061052,0.9760510623804,574832.9645338034,61.3032198858525,3.058823529411764,4.220588235294118
0.975,50000,2,2,0.005436248391973115,44.22430446831354,0.9741030826483794,628004.4592239339,65.5673063041713,4.926470588235294,4.691176470588236
0.975,50000,2,3,0.004772263138522882,37.86848416285427,0.9772967256987075,661867.1685660965,69.45283460156776,4.352941176470588,4.338235294117647
0.975,50000,2,4a,0.001321586894008473,10.04495621464721,0.9666747249872657,849211.056190305,81.25823751195135,6.088235294117647,3.117647058823529
0.975,50000,2,5,0.005218907918780422,41.91511972439276,0.9748701914045408,582898.3494499672,61.81050408504172,4.132352941176471,4.323529411764706
0.975,50000,2,6,0.005478728860946249,44.06901323826599,0.9754989810405467,575597.1342390707,61.19934656357433,2.926470588235294,3.941176470588236
0.975,50000,2,7,0.003855692059646278,30.34616507084321,0.9742051058973866,545258.7456640134,56.32046915780683,2.514705882352941,3.367647058823529
0.99,50000,1,1,0.01151985125527945,44.86948075393286,0.9907466204043556,189780.0331249668,39.81734987779859,3.617647058823529,4.485294117647059
0.99,50000,1,2,0.009819320776510017,39.92149533307791,0.9898388388042034,193976.5075087057,39.02626595608562,4.470588235294118,4.279411764705882
0.99,50000,1,3,0.0110671391048635,44.08425230236328,0.9911507885962012,206714.7597633834,42.60007937964767,4.970588235294118,4.5
0.99,50000,1,4a,0.008100092534869966,32.72430847355771,0.9895915864479269,223845.03615066,43.0846361621139,5.735294117647059,3.963235294117647
0.99,50000,1,5,0.01036721401669938,41.10966924159869,0.9900592953396883,187568.3951444637,38.60321158763651,3.955882352941177,3.816176470588236
0.99,50000,1,6,0.01173551397947847,46.47395996432655,0.9902039898885856,186246.1868775846,38.97842275911223,2.838235294117647,3.654411764705882
0.99,50000,1,7,0.009205055399869504,36.34277616800786,0.9903689416103632,183311.5215127785,37.3242771207686,2.411764705882353,3.301470588235294
0.99,50000,2,1,0.02578188033888721,206.1470383466124,0.9918375150426767,490676.4674733194,53.69176049667283,3.852941176470588,5.191176470588236
